dataset,seed,candidate,category,source_work_identity,bootstrap_work_index,bits_per_byte,nll_sum,tokens,source_chars,source_bytes
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:cb2a8a3119275310a787147d26d5a1124462b3c321e829061f03ab4ac6121b90,73,4.795825552012067,279.23388862609863,29,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:c391898daeab8372fb8199bbd41e708d8b04b33d1984080480949e3511a584bd,16,5.0204559250602,584.6256980895996,58,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:86c9c4dca0127039f1ae50c558904b59fbd4edc03012923694b9ff7998751210,12,5.531386996309258,322.06148529052734,33,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:05554bc9b8e804ebbb02cfc07924513e935f5384702576a7b045942bcc776571,84,5.591121388106066,465.0564031600952,46,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:7f1acba73dbb590f2059350b81b6452ea01874038280fd90c87628f586c00cfd,15,5.037202686550066,586.5758371353149,57,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:17081afb209552d4294e87f5efd6594d01eeeb792541c4332b4a0cfff4becfda,50,5.526377321861925,321.7698001861572,33,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:1d462ae5e9da2fcffab98988325fe94a152555eadb42c0f9483fa915caa8b4de,5,5.6726690315372315,943.6786909103394,93,80,240
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:4407f3d844541f2fb9d8b6d645132e11ab661a4288b1422293ccb9f28d2675a2,79,5.544878819062684,461.210054397583,45,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:407eeb8ace2d180c36fff5d7853f672bab8adbf3a4b1c3a66554ddc3a8d14f6b,60,4.607442176942579,268.2653865814209,27,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:9bb8ba0d8cf2ad6f8497915f809b3e2670e27464e6d8aeee94804444c0d21c55,37,5.277942142177267,307.30482006073,32,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:6e1cd63b15f93f8ceabc67586351fb8825b5605482df3f7b4c47790860960bd7,21,4.897899085262326,295.3619499206543,31,29,87
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:eab5a1ee862005a36aabd8128fab3ca66f14360f68d43eb46be2cfb47469b2cd,91,4.930956099499505,410.1453981399536,41,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:5b1999b0cac33e1542758e3b59d9c473b5fd370a2b0e632b3b27ca873479c6c6,11,5.479699256712099,638.1039991378784,64,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:fcce7557f2d919d4d0ab9666c2a16d44fa53dc0c35a78ed6945b85b1367d4146,83,5.333760300651977,443.6497097015381,46,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:52d4e6ff51fc2e69153746cda5f4f5a39ff0d586927a0846b5def92686809376,22,5.711625739843935,665.1115427017212,66,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:2095bc33187d6f3979e02211a3b227ce1dd28cb684fbc1a054587a1572e4e3b4,78,5.416952092492637,450.56940841674805,45,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:6639bedd74374987daa82adc5ac1b2a6ab82e22bb002607b321814be456b53c0,68,5.3320035289940835,310.4525098800659,30,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:a2d102ad8170a1ea7416667b7226955d7fe7d42a70e2083e50f7fac9a559fd5a,59,5.0199308756765335,876.8468351364136,90,84,252
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:e66c9c522bbdb987b6e975cb5ac62c23f1a3340f2edb970afc57d26586920b73,57,4.383501159497003,255.22656345367432,26,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:87bc3920a414557db574f9eaf2e17fd70735979bc5ffedf6d561fbd6bea78a45,14,5.013501757434662,583.8158941268921,58,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:976c593d798c11b05704cbc42adbad4e4c52a73c3def579dad8fb18d1ac52a6d,89,4.7631228625885536,396.18542194366455,39,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:d7d8f505d3d800f8b06b5904e82f03d762ec23c0c9a1869136f46caf102f2c7b,25,5.433011259154703,225.95258617401123,21,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:49f02e00aefd621557e789f30a22273b497c62377cdb20a7308eb042a223a0c9,17,5.142361617644181,598.821460723877,60,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:69b01b2daede497431a5d130a695d18f1235d869145fe59b5d92bd960a722364,41,4.737024667302773,275.8102445602417,27,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:042ab8718b1edb4db8fa7b7b4ef51267d51b3bbfa609b7c2fb0a488b010a293d,18,5.785316907033882,673.6927852630615,67,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:4cfce05a50c6c27787ce5282083e079a6b4dacc0a17d46e4c5637c4f2999408b,27,4.553681874419873,189.38230514526367,20,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:c6fedba6d584e75c829082a67d2ee059e215a162bc29488af48dadcb3b48695a,9,5.683681736662945,661.8574991226196,66,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:8952801954f78ca62cdeb76b00e9976739ee20e4a31fb68734b7fef676634790,87,5.433873236200827,451.9768695831299,44,40,120
