dataset,seed,category,works,j32_bpb,j48_bpb,relative_percent,bootstrap_replicates,bootstrap_seed,ci_lower_percent,ci_upper_percent
old,1,kanbun,93,5.245909320843615,5.325430818697347,1.5158763331605485,2000,20260909,1.3276871329447548,1.7573176214356057
old,1,kakikudashi,93,3.8166862206969006,3.8457325142010133,0.7610343587220347,2000,20260909,0.5413763583602238,0.9976759975163008
old,2,kanbun,93,5.258579089165376,5.365920405575414,2.041260853739013,2000,20260909,1.8654743869158663,2.228633420126469
old,2,kakikudashi,93,3.8236539092027053,3.855089249243043,0.8221282779981687,2000,20260909,0.5856290197506775,1.0507875139305511
hardened,1,kanbun,457,5.285414308059779,5.3660701774988295,1.5260084590919876,2000,20260909,1.4435451255888854,1.6197680262747705
hardened,1,kakikudashi,457,3.833037046548096,3.8633113684687306,0.7898259670591656,2000,20260909,0.6890530310096121,0.8912571037400729
hardened,2,kanbun,457,5.299372708129856,5.406127245429307,2.014474979947667,2000,20260909,1.937788340978619,2.095334610817945
hardened,2,kakikudashi,457,3.8407116204147873,3.8732180893419073,0.8463657816519365,2000,20260909,0.7434476189579042,0.9432129522001897
