candidate,seed,metrics_sha256,dataset_sha256,records_sha256,tokenizer_sha256,checkpoint_sha256,code_phase55_same_source_runtime.py,code_probe_lm.py,code_probe_lm_data.py,code_tokenizer_adapters.py
j-reversible-sp-unigram-32k,1,7e39e47c378213313bc0b8359a99af8a7d875d455556ef8fd329034496733669,b25391d37b412e4ef926a493eae3e933467d2773b76d3ce0ddda5c66ffce25e5,7791aa0479920cab596fe090253e08b60fc659b5be3d888e6834f7396e5e91c2,c72521c81db95543dde07dc24283d10850d2b78c3806c1a29a41aae4ec9a9923,96c5339cd11ea7183274d884e2926f230a32b3215005b2067d01eee89256ca81,33e6e410f86184270f4dd9d89e6c2ae58563f84517e6d8e818c7fe570106d18c,838899fd3e750e34798aab67eba83ee9d75982f26ec0cc1002d4aea720ace060,3bdfbde42b2c0dec92070f51492765b3deade9f2fb07920d0a856b4fb044a726,bded6cb316227f19f7b78d3864089ebceb0b4b78e3fe1f7e2bce39de40b8ac33
j-reversible-sp-unigram-48k,1,ceac768128b3dd6df9dbe1b5d451d73d7223be42245ba2bcc1b11bc59b84c8a5,b25391d37b412e4ef926a493eae3e933467d2773b76d3ce0ddda5c66ffce25e5,7791aa0479920cab596fe090253e08b60fc659b5be3d888e6834f7396e5e91c2,2a8c9f22004b13cde8cf0a77a111cb24512cbb7ff0420c903fe90e5772031677,4d27595121b309e021f50710a1a913bff29dca07d756a5512199af46054450c9,33e6e410f86184270f4dd9d89e6c2ae58563f84517e6d8e818c7fe570106d18c,838899fd3e750e34798aab67eba83ee9d75982f26ec0cc1002d4aea720ace060,3bdfbde42b2c0dec92070f51492765b3deade9f2fb07920d0a856b4fb044a726,bded6cb316227f19f7b78d3864089ebceb0b4b78e3fe1f7e2bce39de40b8ac33
j-reversible-sp-unigram-32k,2,e0be93b9544cd2d7d075d07a6544345d178729d0afb2e04413c1f7bac332fc9e,b25391d37b412e4ef926a493eae3e933467d2773b76d3ce0ddda5c66ffce25e5,7791aa0479920cab596fe090253e08b60fc659b5be3d888e6834f7396e5e91c2,c72521c81db95543dde07dc24283d10850d2b78c3806c1a29a41aae4ec9a9923,5312f19e7846fa0f9eb178157d2fb10ebdc6c80df5042e62bf264fa72ecd0b42,33e6e410f86184270f4dd9d89e6c2ae58563f84517e6d8e818c7fe570106d18c,838899fd3e750e34798aab67eba83ee9d75982f26ec0cc1002d4aea720ace060,3bdfbde42b2c0dec92070f51492765b3deade9f2fb07920d0a856b4fb044a726,bded6cb316227f19f7b78d3864089ebceb0b4b78e3fe1f7e2bce39de40b8ac33
j-reversible-sp-unigram-48k,2,0d78c6a6145a9a1f17cbf310d60f905189b54d2a14c29350f25280b095cd2b38,b25391d37b412e4ef926a493eae3e933467d2773b76d3ce0ddda5c66ffce25e5,7791aa0479920cab596fe090253e08b60fc659b5be3d888e6834f7396e5e91c2,2a8c9f22004b13cde8cf0a77a111cb24512cbb7ff0420c903fe90e5772031677,f0c138cd180f22cd4b6990b302d135826bec3645a72e1a79de66f802d5d01858,33e6e410f86184270f4dd9d89e6c2ae58563f84517e6d8e818c7fe570106d18c,838899fd3e750e34798aab67eba83ee9d75982f26ec0cc1002d4aea720ace060,3bdfbde42b2c0dec92070f51492765b3deade9f2fb07920d0a856b4fb044a726,bded6cb316227f19f7b78d3864089ebceb0b4b78e3fe1f7e2bce39de40b8ac33
