candidate,seed,domain,requested_budget_fraction,actual_budget_fraction,source_chars,bits_per_byte,nll_sum,source_bytes,tokens,token_nll
j-reversible-sp-unigram-32k,1,aa,0.19,0.19008296666666666,468245,1.8407121431843378,1662848.6976184845,1303291,189974,8.753033034091425
j-reversible-sp-unigram-32k,1,aozora_kyu_kyu,0.19,0.19008296666666666,98589,2.187145640505349,429826.3063249588,283524,48030,8.94912151415696
j-reversible-sp-unigram-32k,1,aozora_shin_kyu,0.19,0.19008296666666666,363135,2.1194689989768305,1542071.4164562225,1049668,174239,8.85032292687758
j-reversible-sp-unigram-32k,1,aozora_shin_shin,0.19,0.19008296666666666,500000,1.989531391789843,2005678.4922208786,1454404,226058,8.87240660459209
j-reversible-sp-unigram-32k,1,gyaru,0.19,0.19008296666666666,211,6.157691632207722,2334.698066711426,547,227,10.285013509741963
j-reversible-sp-unigram-32k,1,historical_kana,0.19,0.19008296666666666,11,2.43609495404176,55.72288751602173,33,7,7.960412502288818
j-reversible-sp-unigram-32k,1,kakikudashi,0.19,0.19008296666666666,7344,3.736259679884982,57057.98587656021,22032,6309,9.043903293162183
j-reversible-sp-unigram-32k,1,kanbun,0.19,0.19008296666666666,4292,5.156660317510312,46023.00303697586,12876,4675,9.84449262823013
j-reversible-sp-unigram-32k,1,old_orthography,0.19,0.19008296666666666,13,2.2343045122701533,60.399373054504395,39,7,8.6284818649292
j-reversible-sp-unigram-32k,1,technical,0.19,0.19008296666666666,34542,6.215065755549665,236282.73259353638,54848,23549,10.03366311068565
j-reversible-sp-unigram-32k,1,unicode_edge,0.19,0.19008296666666666,70,11.096473273920118,1053.7340154647827,137,97,10.863237272832812
j-reversible-sp-unigram-32k,1,web_novel,0.19,0.19008296666666666,148523,2.3367394158688297,639750.8193492889,394980,70196,9.11377883852768
j-reversible-sp-unigram-32k,1,whitespace,0.19,0.19008296666666666,34,6.731774710458187,214.6410903930664,46,21,10.221004304431734
j-reversible-sp-unigram-32k,1,aa,0.2,0.20018903333333332,468245,1.8389046199562662,1661215.8308734894,1303291,189974,8.744437822404588
j-reversible-sp-unigram-32k,1,aozora_kyu_kyu,0.2,0.20018903333333332,98589,2.198628152268729,432082.8938732147,283524,48030,8.996104390447943
j-reversible-sp-unigram-32k,1,aozora_shin_kyu,0.2,0.20018903333333332,363135,2.129903610252842,1549663.3726482391,1049668,174239,8.893895010004874
j-reversible-sp-unigram-32k,1,aozora_shin_shin,0.2,0.20018903333333332,500000,1.9875320549681912,2003662.9287176132,1454404,226058,8.863490470222745
j-reversible-sp-unigram-32k,1,gyaru,0.2,0.20018903333333332,211,6.089982597061218,2309.026083946228,547,227,10.171921074652987
j-reversible-sp-unigram-32k,1,historical_kana,0.2,0.20018903333333332,11,2.487476928587553,56.89819145202637,33,7,8.128313064575195
j-reversible-sp-unigram-32k,1,kakikudashi,0.2,0.20018903333333332,7344,3.7232464064031223,56859.2547287941,22032,6309,9.012403666000015
j-reversible-sp-unigram-32k,1,kanbun,0.2,0.20018903333333332,4292,5.112223757592286,45626.40837955475,12876,4675,9.759659546428823
