candidate,seed,complete,bits_per_byte,nll_sum,source_bytes,source_chars,tokens,token_nll,train_source_chars,train_source_bytes,train_tokens,train_steps,train_train_wall_seconds,train_tokens_per_second,train_chars_per_second,train_derived_flops,train_measured_flops,peak_vram_bytes,invocation_wall_seconds
j-reversible-sp-unigram-32k,1,True,2.0690510493113328,6563311.496870518,4576425,1625009,743389,8.82890585799698,30000000,84611719,12492649,8229,4674.035421234009,2672.7758508731563,6418.436596289121,14402411516298240,,8095102976,5365.427629433
j-reversible-sp-unigram-48k,1,True,1.998723780482787,6340223.829604149,4576425,1625009,691616,9.16726019872899,30000000,84611719,11538896,8148,4242.559631918017,2719.795831080254,7071.202906448557,13192905504817152,,8890530816,4934.649583692
j-reversible-sp-unigram-32k,2,True,2.067869947358951,6559564.880746365,4576425,1625009,743389,8.823865944675486,30000000,84611719,12492649,8229,6338.1423261309765,1971.0268967131178,4733.248080642747,14402411516298240,,8095102976,6985.535742972
j-reversible-sp-unigram-48k,2,True,2.005290722847069,6361055.064451218,4576425,1625009,691616,9.197379853056056,30000000,84611719,11538896,8148,5668.829039705053,2035.4990279615777,5292.09820756226,13192905504817152,,8890530816,6319.249345933
